# trajectoire
index,x,y
0,-169.325,-54.64
1,-173.975,-53.988
2,-178.33,-53.229
3,-181.482,-52.559
4,-184.491,-51.752
5,-187.31,-50.839
6,-189.841,-49.82
7,-191.94,-48.646
8,-193.589,-47.343
9,-194.779,-45.97
10,-195.532,-44.569
11,-195.948,-43.116
12,-196.17,-41.68
13,-196.224,-40.204
14,-196.13,-38.596
15,-195.894,-36.795
16,-195.484,-34.803
17,-194.845,-32.598
18,-193.935,-30.23
19,-192.748,-27.759
20,-191.267,-25.243
21,-189.457,-22.713
22,-187.309,-20.271
23,-184.692,-17.996
24,-181.541,-15.998
25,-177.885,-14.338
26,-173.881,-12.987
27,-169.693,-11.817
28,-165.592,-10.832
29,-161.682,-9.914
30,-157.988,-8.969
31,-154.443,-8.036
32,-150.981,-7.242
33,-147.535,-6.589
34,-144.154,-6.17
35,-140.933,-6.103
36,-137.906,-6.407
37,-135.182,-6.949
38,-132.84,-7.57
39,-130.868,-8.143
40,-129.175,-8.466
41,-127.744,-8.497
42,-126.474,-8.276
43,-125.279,-7.882
44,-124.114,-7.403
45,-122.97,-7.029
46,-121.833,-6.901
47,-120.713,-7.185
48,-119.667,-8.002
49,-118.742,-9.424
50,-117.955,-11.351
51,-117.399,-13.712
52,-117.085,-16.307
53,-116.964,-18.883
54,-116.988,-21.169
55,-117.138,-23.036
56,-117.317,-24.324
57,-117.503,-25.019
58,-117.702,-25.212
59,-117.937,-25.044
60,-118.218,-24.674
61,-118.533,-24.265
62,-118.839,-23.946
63,-119.064,-23.813
64,-119.1,-23.907
65,-118.84,-24.194
66,-118.199,-24.572
67,-117.147,-24.906
68,-115.71,-25.048
69,-113.687,-24.832
70,-111.03,-24.255
71,-107.867,-23.432
72,-104.299,-22.438
73,-100.387,-21.34
74,-96.467,-20.256
75,-92.751,-19.193
76,-89.239,-18.086
77,-85.925,-16.99
78,-82.78,-15.905
79,-79.742,-14.755
80,-76.77,-13.507
81,-73.823,-12.162
82,-70.801,-10.667
83,-67.643,-9.053
84,-64.321,-7.436
85,-60.791,-5.886
86,-57.094,-4.46
87,-53.389,-3.209
88,-49.868,-2.173
89,-46.73,-1.34
90,-44.137,-0.635
91,-42.146,0.038
92,-40.687,0.748
93,-39.597,1.538
94,-38.632,2.385
95,-37.534,3.227
96,-36.083,4.02
97,-34.126,4.776
98,-31.596,5.546
99,-28.577,6.424
100,-25.293,7.442
101,-21.948,8.53
102,-18.766,9.619
103,-15.941,10.632
104,-13.525,11.453
105,-11.468,11.998
106,-9.72,12.27
107,-8.268,12.284
108,-7.031,12.105
109,-5.873,11.805
110,-4.652,11.508
111,-3.263,11.34
112,-1.557,11.383
113,0.537,11.672
114,2.953,12.257
115,5.626,13.133
116,8.468,14.309
117,11.402,15.761
118,14.362,17.416
119,17.321,19.176
120,20.216,20.972
121,23.014,22.705
122,25.677,24.298
123,28.149,25.725
124,30.388,26.976
125,32.395,28.054
126,34.207,28.961
127,35.825,29.536
128,37.316,29.784
129,38.763,29.705
130,40.308,29.34
131,41.946,28.657
132,43.686,27.79
133,45.465,26.709
134,47.179,25.402
135,48.613,23.816
136,49.636,22.015
137,50.257,20.033
138,50.453,17.923
139,50.208,15.688
140,49.699,13.362
141,49.082,11.026
142,48.394,8.723
143,47.699,6.417
144,47.012,4.122
145,46.129,1.84
146,44.982,-0.643
147,43.523,-3.364
148,41.714,-6.267
149,39.566,-9.289
150,37.174,-12.371
151,34.539,-15.268
152,31.685,-17.813
153,28.686,-19.881
154,25.616,-21.368
155,22.531,-22.223
156,19.466,-22.459
157,16.297,-22.307
158,13.021,-21.967
159,9.636,-21.626
160,6.109,-21.492
161,2.455,-21.741
162,-1.242,-22.361
163,-4.98,-23.396
164,-8.762,-24.817
165,-12.548,-26.552
166,-16.347,-28.514
167,-20.115,-30.603
168,-23.888,-32.685
169,-27.706,-34.699
170,-31.623,-36.576
171,-35.661,-38.279
172,-39.824,-39.794
173,-44.11,-41.111
174,-48.502,-42.235
175,-52.969,-43.191
176,-57.487,-44.023
177,-62.043,-44.752
178,-66.618,-45.421
179,-71.2,-46.074
180,-75.786,-46.707
181,-80.376,-47.311
182,-84.965,-47.899
183,-89.552,-48.491
184,-94.137,-49.093
185,-98.718,-49.724
186,-103.297,-50.392
187,-107.874,-51.094
188,-112.451,-51.804
189,-117.033,-52.494
190,-121.619,-53.169
191,-126.208,-53.813
192,-130.802,-54.415
193,-135.402,-54.946
194,-140.006,-55.384
195,-144.611,-55.704
196,-149.207,-55.888
197,-153.784,-55.917
198,-159.215,-55.604
199,-164.398,-55.185
# bordure_exterieure
index,x,y
0,-169.821,-58.609
1,-174.594,-57.94
2,-179.078,-57.158
3,-182.414,-56.449
4,-185.623,-55.589
5,-188.669,-54.602
6,-191.553,-53.435
7,-194.145,-51.984
8,-196.332,-50.254
9,-198.055,-48.265
10,-199.233,-46.085
11,-199.854,-43.979
12,-200.153,-42.056
13,-200.223,-40.152
14,-200.112,-38.211
15,-199.837,-36.124
16,-199.365,-33.833
17,-198.633,-31.315
18,-197.605,-28.641
19,-196.276,-25.872
20,-194.617,-23.057
21,-192.587,-20.222
22,-190.124,-17.428
23,-187.073,-14.781
24,-183.434,-12.474
25,-179.349,-10.615
26,-175.058,-9.164
27,-170.699,-7.945
28,-166.516,-6.941
29,-162.634,-6.029
30,-158.993,-5.098
31,-155.401,-4.152
32,-151.801,-3.327
33,-148.155,-2.638
34,-144.448,-2.181
35,-140.782,-2.106
