heure,timestamp,ax(g),ay(g),az(g),gx(deg/s),gy(deg/s),gz(deg/s),roll(deg),pitch(deg),yaw(deg)
14:19:15.878,389.503103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.8832,-10.2832,-79.4257
14:19:15.982,389.606854,0.0938,-0.3203,1.0044,18.6768,-55.0537,31.7993,-6.7401,-10.1569,-80.2661
14:19:16.082,389.706794,-0.5664,-0.0459,1.4043,-32.5317,59.1431,31.0669,-8.4540,-11.6400,-78.1293
14:19:16.182,389.806734,0.3740,-0.2085,0.7930,6.1646,-58.0444,-22.8271,-9.2505,-12.8430,-77.6074
14:19:16.282,389.906685,-0.0840,-0.1104,1.1421,-18.7378,24.1699,44.6777,-11.4752,-11.9257,-70.1971
14:19:16.382,390.006639,0.0200,-0.2173,0.9302,-4.7607,12.2681,-8.0566,-10.4535,-12.4310,-74.6576
14:19:16.482,390.106715,-0.0947,-0.1445,1.1138,-4.3945,-20.2637,28.0762,-10.4150,-10.9424,-72.5647
14:19:16.582,390.206644,0.0962,-0.1074,0.5430,-26.1841,-59.9365,-54.0771,-10.0140,-15.0183,-77.1515
14:19:16.682,390.306571,0.0449,-0.3809,0.9854,-3.2959,-19.1650,-31.5552,-10.9644,-15.7269,-75.3772
14:19:16.782,390.406543,-0.0195,-0.1421,0.9878,-4.0283,13.0615,-13.5498,-10.5139,-15.9796,-76.2012
14:19:16.882,390.506473,0.0928,0.0269,1.2007,3.2959,-28.8086,-13.5498,-8.4320,-15.6610,-81.6010
14:19:16.982,390.606433,0.0430,-0.0259,1.2031,-52.1851,-44.9829,-99.3042,-9.3713,-18.1714,-83.8092
14:19:17.082,390.706418,0.2427,-0.0068,0.5161,-55.2368,-5.8594,-137.0850,-10.3162,-21.4838,-91.9556
14:19:17.182,390.806380,0.2646,-0.0474,0.8774,24.0479,42.3584,-44.9829,-7.3224,-20.2094,-97.6794
14:19:17.282,390.906326,0.3071,-0.0942,1.2559,-36.1938,45.2271,22.6440,-5.1361,-17.5726,-97.4652
14:19:17.382,391.006287,0.0825,0.0254,0.8501,-26.9165,10.3149,-17.8223,-5.9766,-16.7102,-100.4041
14:19:17.482,391.106302,-0.0405,0.0576,1.2378,-1.2207,44.5557,3.3569,-6.5973,-13.0408,-100.9918
14:19:17.582,391.206260,0.1934,0.0039,0.7295,-31.4941,6.2866,-2.8687,-6.4215,-14.1064,-100.4260
14:19:17.682,391.306195,0.0864,0.0840,0.9736,-17.5171,-11.6577,-4.0894,-6.0699,-12.7606,-101.2610
14:19:17.782,391.406127,0.0698,-0.0376,1.2412,15.4419,31.1279,-16.3574,-6.0260,-11.0028,-101.9806
14:19:17.882,391.506104,0.1587,0.0903,0.7954,-20.3857,7.5073,8.2397,-6.8280,-10.4590,-100.9863
14:19:17.981,391.606043,0.0298,0.1177,0.8237,-32.4707,-9.8877,9.5215,-6.4380,-9.5911,-100.7556
14:19:18.081,391.706012,-0.0049,0.1968,1.1948,-6.7139,-11.6577,17.7612,-6.1853,-8.6243,-99.7943
14:19:18.181,391.805961,0.1299,0.1440,0.7964,-1.2817,-8.7891,23.9868,-8.2343,-11.9751,-96.5314
14:19:18.281,391.905960,-0.0435,0.1714,1.1094,-16.4185,-15.8081,15.9912,-7.2070,-10.8710,-95.0317
14:19:18.381,392.005870,0.0889,0.1440,0.9390,-18.3105,1.5869,19.8364,-7.6410,-9.7833,-92.5983
14:19:18.481,392.105896,0.0347,0.4336,1.1299,9.2773,-5.0049,33.9966,-6.8555,-8.9429,-89.9121
14:19:18.581,392.206053,-0.1040,0.3496,1.0586,15.1367,5.3101,40.4053,-5.3229,-8.9539,-87.1161
14:19:18.681,392.305824,0.0938,0.3784,1.0015,6.1646,-9.8877,45.7764,-4.2133,-9.0417,-81.9250
14:19:18.781,392.405752,0.1304,0.4189,1.0508,-1.8311,-10.2539,31.7993,-3.0048,-9.9042,-77.9590
14:19:18.881,392.505718,0.1206,0.2168,0.8916,1.5869,-23.4985,21.6064,-1.8787,-9.5746,-75.0311
14:19:18.981,392.605677,0.2217,-0.0239,1.1606,15.3198,8.3618,3.4180,-0.6372,-8.3606,-73.9929
14:19:19.081,392.705652,0.0415,0.1514,0.8848,-18.7988,10.5591,10.5591,-1.4996,-7.8772,-73.3282
14:19:19.181,392.805607,0.0737,0.2949,1.0420,2.9907,-3.5400,0.9766,-0.4779,-7.3334,-71.9769
14:19:19.281,392.905578,0.0825,0.3179,1.0840,6.1035,2.9297,36.7432,-0.4614,-6.8335,-68.9941
14:19:19.381,393.005593,-0.1616,0.3486,1.0601,9.9487,18.4326,33.0811,0.8789,-6.3666,-66.6211
14:19:19.481,393.105612,0.0132,0.3843,0.9360,-3.6011,13.3667,42.7856,1.4282,-4.5648,-61.9684
14:19:19.581,393.205516,-0.0171,0.6177,0.9912,1.5259,9.3994,58.2886,2.4060,-2.8619,-56.5466
14:19:19.681,393.305645,-0.0923,0.5674,0.9229,1.1597,4.0894,69.8853,3.2410,-3.2190,-50.7568
14:19:19.781,393.405586,0.0835,0.3374,0.9155,-3.2349,-5.8594,31.1890,4.7296,-3.2410,-45.3186
14:19:19.881,393.505550,0.2300,0.2959,0.9194,-26.8555,2.2583,32.4097,4.4220,-3.1091,-41.6547
14:19:19.981,393.605499,-0.1182,0.2080,0.9536,4.6997,-16.9067,30.3345,5.4053,-4.0265,-39.3640
14:19:20.081,393.705467,0.1646,0.2832,1.3340,15.6860,-3.4180,16.4795,5.9052,-4.2023,-36.1560
14:19:20.181,393.805429,0.0269,0.2305,0.6558,-4.7607,6.8970,43.8232,5.6525,-5.9052,-33.1128
14:19:20.281,393.905381,-0.1636,0.1040,0.9312,-10.6812,-26.6113,35.6445,5.6689,-5.9106,-30.7892
14:19:20.381,394.005459,-0.0088,0.5293,1.3364,4.1504,13.9771,30.3955,5.7733,-5.4163,-26.9000
14:19:20.481,394.105464,0.1411,0.4189,1.2520,11.1084,12.9395,45.4712,5.9326,-6.0699,-23.1097
14:19:20.581,394.205320,-0.1050,0.2896,0.9727,-2.3804,6.5918,37.4146,5.7678,-6.8115,-20.8411
14:19:20.681,394.305233,0.0488,0.1489,0.9863,13.3057,-12.2070,19.2261,6.1853,-6.5808,-17.1442
14:19:20.781,394.405185,0.0464,0.4814,1.0620,0.3052,15.9302,43.8843,7.7179,-6.8555,-13.9197
14:19:20.881,394.505203,0.1948,0.2939,1.0400,15.8691,15.6250,-4.3945,8.4100,-6.8719,-12.3926
14:19:20.981,394.605169,0.0889,0.1152,0.7925,0.9766,-11.8408,18.9819,9.2065,-7.1796,-10.5304
14:19:21.081,394.705124,0.0630,0.4033,1.0659,-5.1880,-10.6812,14.4653,9.9811,-7.6245,-8.1683
14:19:21.180,394.805096,0.0815,0.2446,0.8516,3.7231,1.8921,28.7476,10.4041,-7.8387,-5.7678
14:19:21.280,394.905037,0.1226,0.1909,1.2461,-4.6387,16.5405,-21.0571,10.4865,-6.5808,-5.5756
14:19:21.380,395.005115,0.0459,0.0151,0.8345,8.4229,-11.9629,8.4839,10.4919,-6.2018,-7.0917
14:19:21.480,395.105031,0.1865,0.1201,1.2031,-11.5356,5.6152,11.0474,10.6183,-6.7181,-7.0862
14:19:21.580,395.204957,0.0562,0.1050,0.8193,8.9722,-7.0801,1.4038,10.4095,-7.2894,-6.6467
14:19:21.680,395.304916,0.1123,0.1689,1.1826,2.1973,-2.9907,24.4751,10.5469,-7.6355,-4.6637
14:19:21.780,395.404870,0.0195,0.2358,0.8618,16.3574,-3.6011,9.2773,10.2887,-7.8442,-3.4222
14:19:21.880,395.504820,0.0244,0.1982,1.0112,-6.7749,5.1270,36.2549,10.1898,-7.1960,-0.6592
14:19:21.980,395.604777,0.0776,0.3062,0.9116,8.1787,-4.9438,22.1558,10.5414,-7.0203,2.4280
14:19:22.080,395.704749,0.0200,0.0269,1.0845,0.1831,5.6763,13.3057,10.1898,-7.0642,3.4058
